종목코드,종목명,전일종가,전일대비,목표주가,ROE [%],부채비율 [%],영업이익률 [%],PBR(FY0) [배]
A017000,?신원종합개발,"?3,000",?0.00,,?8.45,?151.26,?1.01,?0.4
A002700,?신일전자,"?1,420",?0.35,,?1.29,?53.36,?1.09,?1.6
A012790,?신일제약,"?6,680",?0.00,,?10.57,?13.02,?15.7,?0.68
A004770,?써니전자,"?2,145",?-1.38,,?5.01,?1.84,?7.07,?1.07
A222420,?쎄노텍,?650,?-0.31,,?-14.26,?161.13,?-3.4,?1.97
A088280,?쏘닉스,"?2,845",?-10.82,,?-15.21,?32.32,?-37.39,?1.77
A101240,?씨큐브,"?3,995",?-0.75,,?4.83,?19.6,?9.84,?0.65
A123860,?아나패스,"?21,550",?-1.15,,?5.85,?107.91,?6.25,?4.83
A357580,?아모센스,"?5,450",?0.00,,?-3.84,?205.02,?0.91,?3.59
A149950,?아바텍,"?8,940",?-1.65,,?3.44,?5.48,?2.9,?1.46
A050860,?아세아텍,"?2,045",?-1.21,,?3.52,?49.84,?5.16,?0.4
A246720,?아스타,"?4,715",?2.06,,?-41.95,?57.27,?-86.92,?13.26
A267850,?아시아나IDT,"?12,190",?-0.73,,?6.75,?35.15,?4.84,?1.31
A154030,?아시아종묘,"?1,958",?0.93,,?-2.82,?80.79,?-4.57,?1.27
A214430,?아이쓰리시스템,"?47,450",?0.85,,?14.91,?46.08,?10.04,?2.41
A059100,?아이컴포넌트,"?5,400",?5.06,,?-7.57,?60.52,?-7.86,?1.46
A032080,?아즈텍WB,"?1,295",?-1.52,,?-1.21,?14.95,?-0.2,?0.33
A059120,?아진엑스텍,"?7,300",?1.25,,?1.14,?11.44,?-3.67,?2.09
A065660,?안트로젠,"?19,580",?1.45,,?-2.41,?15.44,?-78.06,?1.28
A297570,?알로이스,?775,?2.24,,?13.61,?43.58,?15.99,?1.28
A260660,?알리코제약,"?3,710",?1.23,,?3.45,?94.75,?1.64,?0.95
A314140,?알피바이오,"?5,350",?-0.19,,?5.61,?61.77,?4.38,?0.73
A196300,?애니젠,"?12,410",?6.52,,?-75.93,?99.57,?-119.71,?8.3
A129890,?앱코,?978,?-0.61,,?3.17,?65.29,?2.18,?0.72
A174900,?앱클론,"?14,690",?1.17,,?-40,?66.78,?-373.24,?9.15
A030960,?양지사,"?9,860",?-1.40,,?2.38,?4.35,?0.27,?0.75
A121890,?에스디시스템,"?1,404",?0.29,,?24.65,?21.57,?4.82,?2
A389500,?에스비비테크,"?23,500",?4.44,,?-65.4,?369.7,?-108.53,?20.98
A298060,?에스씨엠생명과학,"?1,888",?1.61,,?-106.53,?24.08,?-1868.29,?3.78
A065420,?에스아이리소스,?230,?-3.77,,?-67.57,?36.9,?-122.05,?1.97
A103230,?에스앤더블류,"?3,480",?0.14,,?7.88,?46.97,?7.41,?0.64
A260970,?에스앤디,"?44,100",?9.43,,?14.24,?19.73,?14.59,?0.8
A246250,?에스엘에스바이오,"?2,065",?-2.36,,?14.22,?32.46,?11.43,?2.94
A365330,?에스와이스틸텍,"?8,360",?-0.71,,?31.57,?72.92,?12.19,?2.71
A043340,?에쎈테크,?580,?2.11,,?-36.42,?181.67,?-15.15,?2.47
A298690,?에어부산,"?2,260",?-1.53,,?66.45,?626.97,?17.94,?1.9
A453860,?에이에스텍,"?20,650",?-0.72,,?26.95,?49.23,?19.37,?4.23
A312610,?에이에프더블류,"?1,165",?0.09,,?-4.69,?4.48,?-59.85,?0.9
A021080,?에이티넘인베스트,"?2,230",?-0.22,,?11.66,?25.62,?18.25,?0.93
A200470,?에이팩트,"?3,180",?19.10,,?-15.65,?113.61,?-24.41,?1.3
A450080,?에코프로머티,"?76,500",?4.08,,?0.91,?38.19,?0.92,?16.27
A356680,?엑스게이트,"?8,420",?-13.20,,?0.94,?23.8,?9.58,?4.3
A265740,?엔에프씨,"?5,030",?1.21,,?6.23,?32.58,?9.49,?1.29
A419080,?엔젯,"?8,740",?-0.11,,?0.66,?9.56,?-17.55,?3.52
A096870,?엘디티,"?2,640",?0.00,,?-0.92,?20.63,?-3.91,?1.31
A373170,?엠아이큐브솔루션,"?7,750",?0.00,,?17.69,?29.47,?7.27,?3.28
A179290,?엠아이텍,"?8,270",?-1.08,,?14.5,?6.35,?30.32,?2.35
A347890,?엠투아이,"?5,800",?-0.34,,?8.68,?6.31,?16.99,?1.72
A003520,?영진약품,"?2,140",?-0.23,,?-4.32,?152.81,?1.33,?4.34
A036560,?영풍정밀,"?12,620",?-1.10,,?8.63,?17.8,?15,?0.6
A012280,?영화금속,?906,?-0.55,,?11.57,?210.99,?3.21,?0.68
A002630,?오리엔트바이오,"?1,857",?-0.59,,?16.45,?13.97,?-2.31,?0.83
A417860,?오브젠,"?9,140",?-0.98,,?-130.18,?132.06,?-34.32,?10.42
A131030,?옵투스제약,"?6,550",?1.71,,?8.31,?11.16,?11.3,?0.61
A109080,?옵티시스,"?8,520",?-10.50,,?4.46,?10.77,?3.78,?1.04
A153710,?옵티팜,"?5,070",?2.42,,?-9,?56.2,?-15.14,?4.1
A338840,?와이바이오로직스,"?8,250",?1.73,,?-116.92,?29.41,?-291.53,?9.94
A112290,?와이씨켐,"?19,930",?19.27,,?-9.45,?97.68,?-12.57,?1.91
A273640,?와이엠텍,"?10,890",?0.55,,?11.25,?2.81,?17.09,?2.79
A066430,?와이오엠,?529,?-1.49,,?6.95,?29.19,?0.36,?0.63
A079000,?와토스코리아,"?5,210",?0.77,,?3.39,?5.22,?-0.51,?0.44
A103840,?우양,"?3,230",?-0.31,,?-9.56,?259.83,?0.68,?1.94
A215380,?우정바이오,"?1,922",?3.28,,?-19.55,?347.53,?-11.55,?1.31
A008290,?원풍물산,?480,?-0.62,,?-20.94,?193.47,?-6.62,?2.4
A330350,?위더스제약,"?7,160",?0.00,,?9.18,?44.86,?9.87,?1.42
A097800,?윈팩,?817,?3.29,,?-54.2,?219.98,?-26.52,?1.75
A335870,?윙스풋,"?1,413",?6.56,,?12.02,?45.24,?7.71,?0.92
A033270,?유나이티드제약,"?18,840",?-0.58,,?13.47,?23.81,?19.7,?1.08
A446070,?유니드비티플러스,"?3,640",?-0.55,,?0.45,?14.59,?-2.41,?0.39
A011330,?유니켐,"?1,460",?-0.54,,?-4.69,?50.8,?4.38,?1.4
A206650,?유바이오로직스,"?13,150",?4.86,,?-11.77,?44.83,?11.1,?3.75
A084440,?유비온,"?1,018",?-2.02,,?-36.41,?263.61,?-6.07,?3.49
A054930,?유신,"?23,850",?0.21,,?16.98,?86.63,?5.37,?0.78
A263770,?유에스티,"?1,903",?0.26,,?15.82,?27.78,?14.19,?0.91
A388720,?유일로보틱스,"?35,700",?5.00,,?-17.54,?145.99,?-23.79,?6.82
A056080,?유진로봇,"?7,240",?2.26,,?-12.48,?51.3,?-15.37,?10.85
A221800,?유투바이오,"?3,645",?-2.28,,?1.8,?29.5,?-4.35,?1.57
A003460,?유화증권,"?2,210",?0.00,,?1.46,?58.67,?-3.17,?0.33
A025820,?이구산업,"?4,140",?-0.24,,?0.52,?149.27,?2.36,?1.02
A044960,?이글벳,"?4,905",?-3.06,,?6.74,?28.97,?7.77,?1.47
A344860,?이노진,"?1,569",?5.51,,?12.26,?7.33,?12.14,?2.06
A053350,?이니텍,"?3,330",?-0.30,,?-0.26,?6.47,?-7.76,?0.53
A115610,?이미지스,"?3,855",?14.39,,?-54.91,?255.49,?-14.37,?10.07
A086890,?이수앱지스,"?4,815",?1.80,,?5.1,?167.84,?7.16,?2.71
A015020,?이스타코,"?1,690",?-6.47,,?-6.66,?87.59,?-12.52,?0.71
A067010,?이씨에스,"?3,160",?0.48,,?4.75,?57.18,?1.61,?0.78
A088290,?이원컴포텍,"?1,046",?-1.41,,?-4.84,?60.31,?1.87,?1.11
A084680,?이월드,"?1,534",?-0.90,,?-3.92,?79.22,?6.87,?1.04
A134060,?이퓨쳐,"?4,030",?0.00,,?6.39,?21.12,?9.53,?0.98
A001840,?이화공영,"?2,900",?1.75,,?-2.93,?126.08,?-0.72,?1.38
A352940,?인바이오,"?2,065",?-0.24,,?-14.45,?62.84,?-9.86,?0.94
A389470,?인벤티지랩,"?20,300",?0.74,,?-154.94,?924.4,?-2425.13,?34.67
A034590,?인천도시가스,"?24,550",?-0.20,,?8.51,?109.82,?2.11,?0.51
A083640,?인콘,?315,?0.64,,?-33.15,?11.09,?4.03,?0.48
A017250,?인터엠,"?1,098",?-2.49,,?5.83,?113.16,?7.3,?0.52
A003120,?일성아이에스,"?16,400",?-2.79,,?-5.04,?9.52,?-10.24,?0.64
A068330,?일신바이오,"?1,112",?-0.27,,?11.24,?6.23,?37.81,?0.96
A007110,?일신석재,"?2,310",?2.44,,?2.96,?72.55,?4.55,?1.47
